"Station","Flow_Type","PEARSEDA","PERSEDA_CODE","StationName","Prov","Latitude","Longitude","DrainageArea","Years","From","To","Reg.","OperSched","Operator"
"01AF002","Normal","Saint John - St. Croix",23,"SAINT JOHN RIVER AT GRAND FALLS","NB",47.03889,-67.73972,21900,90,1930,2019,TRUE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AG003","Normal","Saint John - St. Croix",23,"AROOSTOOK RIVER NEAR TINKER","NB",46.81636,-67.75197,6060,44,1975,2018,TRUE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AH002","High","Saint John - St. Croix",23,"TOBIQUE RIVER AT RILEY BROOK","NB",47.17303,-67.21081,2230,66,1954,2019,TRUE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AJ003","Normal","Saint John - St. Croix",23,"MEDUXNEKEAG RIVER NEAR BELLEVILLE","NB",46.21622,-67.72794,1210,53,1967,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AJ004","Normal","Saint John - St. Croix",23,"BIG PRESQUE ISLE STREAM AT TRACEY MILLS","NB",46.43836,-67.73844,484,53,1967,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AJ010","Normal","Saint John - St. Croix",23,"BECAGUIMEC STREAM AT COLDSTREAM","NB",46.34089,-67.46511,350,46,1973,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AK001","Normal","Saint John - St. Croix",23,"SHOGOMOC STREAM NEAR TRANS CANADA HIGHWAY","NB",45.94353,-67.32036,234,100,1918,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AK006","Normal","Saint John - St. Croix",23,"MIDDLE BRANCH NASHWAAKSIS STREAM AT SANDWITH'S FARM","NB",46.08281,-66.73303,5.7,53,1966,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AK007","Normal","Saint John - St. Croix",23,"NACKAWIC STREAM NEAR TEMPERANCE VALE","NB",46.04878,-67.23961,240,52,1967,2018,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
"01AL002","Normal","Saint John - St. Croix",23,"NASHWAAK RIVER AT DURHAM BRIDGE","NB",46.12592,-66.61131,1450,58,1962,2019,FALSE,"Continuous","WATER SURVEY OF CANADA (DOE) (CANADA)"
